,yield_spread,credit_spread,jobless_claims,building_permits,volatility_proxy
1975-01-31,0.6033873515532934,-1.4661445326770295,-0.4963681048563023,-1.2731810631722331,-0.12734815532148266
1975-02-28,0.10317659990266692,-1.395933217998392,-0.554916566383522,-1.6448904872345007,0.20238186024688382
1975-03-31,-0.5637710689648362,-0.6797778082762876,-0.6818579210221845,-1.6370923874289987,0.13627760965303018
1975-04-30,-0.916483778462073,-0.11808729084718628,-0.6441382042152677,-1.6890797194656793,0.2522291438890224
1975-05-31,-0.9806133620070254,-0.5112706530475559,-0.6132059639216834,-1.2809791629777354,0.44266579671639245
1975-06-30,-0.6407265692187788,-0.6938200712120136,-0.49885511915126385,-1.1562095660897014,0.6929496841420946
1975-07-31,-0.41627302681144646,-0.3146789719473724,-0.45932195442093754,-1.0730298348310123,0.8737656256403807
1975-08-31,-0.6086617774463029,0.10658891612445427,-0.26683741055047594,-0.8806767062952934,0.15428650704232671
1975-09-30,-0.5637710689648356,0.12063117906018149,-0.2646612730423846,-0.9482602379429784,0.1873986150144781
1975-10-31,-0.6471395275732739,-0.30063670901164263,-0.2463713554148549,-0.7663045758145957,0.39344158648142763
1975-11-30,-0.9742004036525304,-0.3427634978188268,-0.17357437448941787,-0.6831248445559065,0.950311704845764
1975-12-31,-0.954961528589044,-0.4129748124974654,-0.08559624380515306,-0.6467337121302299,0.6921782048390387
1976-01-31,-0.9998522370705107,-0.5674397047904673,0.03782184058231382,-0.6961216775650766,0.6277852159406805
1976-02-29,-1.096046612387939,-0.25850992020446223,0.05036053765274496,-0.4257875509743366,0.6433092026145756
1976-03-31,-1.0126781537795013,-0.17425634259009515,0.14300182014006266,-0.43878438398350683,0.7815032517095363
1976-04-30,-0.9164837784620724,-0.16021407965436918,0.14326088412912116,-0.5063679156311919,0.8566652089742565
1976-05-31,-0.8331153198536352,0.42956096364618784,0.07512705500673705,-0.589547646889881,0.8744684626401271
1976-06-30,-0.6856172777002449,0.33126512309609357,0.02341788279066151,-0.42838691757617064,0.9597162174577996
1976-07-31,-0.7753986946631783,0.3874341748390037,-0.025389772747958894,-0.4439831171871749,1.2659544238625848
