Slope Method,Count Error,Dynamic Sharpe,Dynamic Sharpe Delta,Dynamic Ann Return (%),Information Ratio
center,26,0.647347847917312,0.18565215208268793,3.612800041935,0.6274760121207371
forward,44,0.32503707460998077,0.5079629253900192,1.8194544800257413,0.24005224588190172
backward,46,0.6968005105139393,0.13619948948606064,4.109506495243598,0.6845637314650626
