,Size,Value,Momentum,Profitability,Investment
2007-01-01,6.361493767696138e-17,0.21870729100953087,0.4351186068267338,0.0,0.34617410216373523
2007-02-01,0.0,0.19620716595095644,0.43199877658909,1.0127934715245837e-17,0.3717940574599535
2007-03-01,0.27777025262907096,0.21876145498024183,0.4651662043681428,0.03830208802254445,0.0
2007-04-01,8.533711151787499e-18,0.20638016670425394,0.43938501587091916,3.845755906109754e-18,0.3542348174248269
2007-05-01,0.0,0.15620589286769332,0.4314826780284887,2.5910694463247678e-17,0.4123114291038179
2007-06-01,0.0,0.17073108423606712,0.43454901625309156,8.983964359273255e-18,0.3947198995108414
2007-07-01,0.0,0.14931821211024424,0.4338878269899357,5.0332163740062425e-17,0.41679396089982
2007-08-01,0.0,0.10568294694208466,0.4437531652730018,8.329574041273535e-18,0.4505638877849136
2007-09-01,1.557129545853328e-16,0.0,0.003622736174088116,0.9309078075298716,0.06546945629604027
2007-10-01,5.430543460228397e-18,8.345355029565403e-17,0.06662483475602468,0.9328161814992696,0.0005589837447055982
2007-11-01,0.0,0.05685493724280243,0.4564187896624437,5.757974065401218e-17,0.48672627309475375
2007-12-01,1.239104362806474e-16,0.0,0.06426421294339126,0.9357357870566085,1.6575292255549664e-18
2008-01-01,0.0,0.0,0.11537790656444094,0.884622093435559,0.0
2008-02-01,2.6323075470844284e-17,0.0,0.03599601545920094,0.964003984540799,3.588151632589779e-17
2008-03-01,1.1460760058273386e-16,7.040633403079433e-18,0.08044964175528693,0.919550358244713,0.0
2008-04-01,0.0,9.680678538884028e-17,0.11003515557090397,0.889964844429096,3.012774065565031e-18
2008-05-01,1.1184842792876799e-16,0.0,0.09556851765902453,0.9044314823409753,0.0
2008-06-01,0.5097997604270105,0.269274360059622,0.019988020213770566,0.0,0.20093785929959693
2008-07-01,4.313501830345911e-17,0.0,0.17518387450803288,0.8248161254919669,1.207066289984859e-16
2008-08-01,1.0626731821826578e-16,0.0,0.14754062417692934,0.8524593758230705,0.0
2008-09-01,0.0,4.484553603920551e-17,0.10230470601666741,0.8976952939833325,7.840629080859336e-18
2008-10-01,0.0,6.185133059537903e-17,0.09338405508447838,0.9066159449155216,2.971727025844523e-17
2008-11-01,0.0,3.381983828654253e-17,0.13141876426439475,0.8685812357356053,3.2716072384123966e-17
2008-12-01,5.1350108611257625e-17,1.7819024484355315e-18,0.15068501170352616,0.8493149882964738,9.240451794335478e-17
2009-01-01,8.152610405630285e-17,0.0,0.11549056891276484,0.884509431087235,0.0
2009-02-01,0.5044389036872132,0.011989001400755109,3.1191141249692356e-17,0.0,0.4835720949120316
2009-03-01,0.4990955802470683,1.770129453172037e-17,0.0,2.862801955130084e-17,0.5009044197529317
2009-04-01,0.5142200296437575,0.00010062156219754062,0.0,0.0,0.4856793487940449
2009-05-01,0.5529327922992701,0.10845468559844958,2.3418766925686896e-17,9.215718466126788e-17,0.33861252210228027
2009-06-01,0.5504072335661727,0.1653201035876293,8.456776945386932e-17,0.0,0.2842726628461978
2009-07-01,0.5638093893512346,0.11150312363087478,1.2685165418080402e-17,6.797947621484113e-17,0.32468748701789063
2009-08-01,0.5581227512560156,0.15024124795322538,1.702197410802242e-17,6.436095146417076e-17,0.29163600079075896
2009-09-01,0.538259584863986,0.24072698175095641,4.7921736023859296e-17,3.371868756429919e-17,0.22101343338505766
2009-10-01,0.5508912689314195,0.25805226989406277,0.0,0.0,0.19105646117451783
2009-11-01,0.5260916598967068,0.19126977641357235,3.611748487092337e-18,2.1524549792720064e-17,0.28263856368972085
2009-12-01,0.5074947957853614,0.18184657587169584,1.4474099002681484e-17,8.397145825900232e-17,0.31065862834294267
2010-01-01,0.5406880695477112,0.1833164446410954,3.067360411891998e-17,1.4264034831762418e-17,0.2759954858111935
2010-02-01,0.5383898951001345,0.1788109305952842,1.5612511283791264e-17,1.2823401195072304e-16,0.2827991743045813
