Parameter,Value,Dynamic Ann Return (%),Dynamic Ann Vol (%),Dynamic Sharpe,Dynamic Max DD (%),Dynamic Turnover (%),Tracking Error (%),Information Ratio,Break-even TC (%)
delta,3.0,4.519152513539669,6.415364750426007,0.7044264339357443,-8.705656644246496,34.87424064625835,6.093628165817865,0.6643393818432652,0.870931989299453
delta,5.0,3.612800041935,5.580925392056722,0.647347847917312,-8.869371060050424,33.869547759085144,5.007178978266549,0.6274760121207371,0.7017484633727181
delta,7.0,3.2603125517371754,5.301108405244557,0.6150246896501198,-10.342063326185569,32.22979343792233,4.58935739720742,0.6077969017529509,0.6561730205857215
