,Size,Value,Momentum,Profitability,Investment
Size,1.0,-0.017146470382004276,-0.08473740598832225,-0.3660787839438595,-0.0709323160483196
Value,-0.017146470382004276,1.0,-0.21504287324618532,0.0987172766616005,0.6797027203675173
Momentum,-0.08473740598832225,-0.21504287324618532,1.0,0.08311397946613328,-0.027512568552270873
Profitability,-0.3660787839438595,0.0987172766616005,0.08311397946613328,1.0,-0.014052902621429423
Investment,-0.0709323160483196,0.6797027203675173,-0.027512568552270873,-0.014052902621429423,1.0
