Regime,Factor,N,Ann Return (%),Ann Vol (%),Sharpe
Recovery,Size,183,8.98688524590164,9.357264257217015,0.960418023779791
Recovery,Value,183,6.261639344262296,9.946770987185673,0.6295147794524579
Recovery,Momentum,183,-4.863606557377049,16.410223612735948,-0.2963766169281455
Recovery,Profitability,183,-1.6445901639344265,7.413502115678372,-0.22183714771678303
Recovery,Investment,183,5.027540983606556,6.180213923173831,0.8134897992373502
Expansion,Size,217,3.6879262672811057,9.252910802581667,0.3985693092655916
Expansion,Value,217,1.64405529953917,8.52176739948088,0.19292421659376915
Expansion,Momentum,217,11.217511520737329,10.739437745649347,1.0445157173411292
Expansion,Profitability,217,2.6460829493087554,5.70940473760245,0.4634603905169849
Expansion,Investment,217,-0.33953917050691257,6.0884283190164386,-0.055767950728171464
Slowdown,Size,156,-4.311538461538461,11.93428140713611,-0.36127340343762754
Slowdown,Value,156,3.586153846153845,10.256206400372758,0.3496569497688256
Slowdown,Momentum,156,11.306923076923075,13.169412404390828,0.8585746068027471
Slowdown,Profitability,156,2.411538461538462,8.43568161547233,0.28587357506657574
Slowdown,Investment,156,5.5284615384615385,6.8118925745089465,0.8115896541219416
Contraction,Size,101,-1.9200000000000004,12.117852284955449,-0.15844391851382097
Contraction,Value,101,0.31960396039603955,13.36658545229354,0.023910666006418228
Contraction,Momentum,101,14.773069306930694,20.126242511302557,0.7340202374404655
Contraction,Profitability,101,14.68277227722772,9.889990799783485,1.4846092958498163
Contraction,Investment,101,4.576633663366336,9.16993308115557,0.4990912826584773
