,Size,Value,Momentum,Profitability,Investment
2007-01-01,0.2358230446687547,0.15122790128670324,0.13399802102217992,0.2658689842804828,0.21308204874187928
2007-02-01,0.23582285171827097,0.15119312488510525,0.13399068067587078,0.26588142216466704,0.2131119205560859
2007-03-01,0.23592778382177018,0.15121614348427365,0.1339446749909404,0.26586364275257746,0.21304775495043826
2007-04-01,0.23592874501055408,0.15120476535361255,0.1339624091899184,0.2658761435304317,0.21302793691548316
2007-05-01,0.23579033442354835,0.1510746766319131,0.13394095691060842,0.2660073670290145,0.21318666500491573
2007-06-01,0.23581199520515014,0.15106069970329727,0.13391912882291349,0.26610654164982267,0.21310163461881643
2007-07-01,0.23582392685941586,0.1510351397211068,0.13391525701257864,0.2661220277883668,0.2131036486185319
2007-08-01,0.23545106381298492,0.15070090575950176,0.13429086712126237,0.2663694161727538,0.21318774713349717
2007-09-01,0.23550352057957682,0.1506178980414054,0.13436868983730452,0.26623394666839795,0.21327594487331536
2007-10-01,0.23527644432824046,0.1507082866804426,0.13494171257132576,0.2662890494880563,0.21278450693193496
2007-11-01,0.23526940509110134,0.15064523213076353,0.13500408498342575,0.26627184618425764,0.21280943161045163
2007-12-01,0.2350644632680887,0.15057891765144607,0.1350484619216012,0.266501216749763,0.21280694040910106
2008-01-01,0.23508495887411207,0.15060122186337985,0.13488936067249352,0.26647517781629815,0.21294928077371644
2008-02-01,0.2350875649856439,0.15059489877949148,0.13490703160808504,0.2664653719722705,0.21294513265450918
2008-03-01,0.23511900951793857,0.15061070702131302,0.13482329519670802,0.2664385696944482,0.2130084185695922
2008-04-01,0.2351398678788168,0.15066292950767085,0.13471681084350567,0.2664275123878239,0.21305287938218273
2008-05-01,0.23510897264654054,0.15069319606098283,0.13470772699390857,0.2668192052534131,0.2126708990451549
2008-06-01,0.23490335814141508,0.15093028796357014,0.13466448259603953,0.26676033295125273,0.21274153834772255
2008-07-01,0.2351714258224899,0.15215574096587967,0.13355457708010554,0.2653965681994269,0.21372168793209806
