,yield_spread,credit_spread,jobless_claims,bldg_permits,vix
1972-03-01,-2.24,-2.17,-263500.0,2169.0,-2.3327752103635944
1972-04-01,-2.0200000000000005,-2.05,-262750.0,2105.0,-2.0721197753327325
1972-05-01,-1.8600000000000003,-2.1000000000000005,-264250.0,2139.0,-2.7479298996740154
1972-06-01,-1.6500000000000004,-2.089999999999999,-267750.0,2067.0,-1.8536259601062037
1972-07-01,-1.5600000000000005,-2.12,-273250.0,2183.0,-2.564741437809785
1972-08-01,-1.4000000000000004,-1.9799999999999995,-284500.0,2195.0,-2.279243899014658
1972-09-01,-1.6799999999999997,-1.54,-253500.0,2263.0,-2.2960095131778506
1972-10-01,-1.4300000000000006,-1.58,-255750.0,2393.0,-2.9223091250704023
1972-11-01,-1.2200000000000006,-1.71,-251000.0,2354.0,-2.0705160461759915
1972-12-01,-1.0300000000000002,-1.5699999999999994,-250750.0,2234.0,-2.4382336312261397
1973-01-01,-0.5199999999999996,-1.4400000000000004,-246500.0,2419.0,-2.2954966637711247
1973-02-01,-0.05999999999999961,-1.33,-228500.0,2271.0,-3.7264613994499753
1973-03-01,0.3799999999999999,-1.3199999999999994,-222000.0,2226.0,-3.9465740747089253
1973-04-01,0.4500000000000002,-1.42,-227750.0,2062.0,-3.9810323747077407
1973-05-01,0.9900000000000002,-1.2100000000000009,-239000.0,1908.0,-5.534937463469414
1973-06-01,1.5899999999999999,-1.2300000000000004,-240250.0,1931.0,-4.765831062552007
1973-07-01,3.2700000000000005,-1.1100000000000003,-240500.0,2051.0,-4.345601566568848
1973-08-01,3.0999999999999996,-1.129999999999999,-242750.0,1819.0,-3.146092597904145
1973-09-01,3.6899999999999995,-1.540000000000001,-258250.0,1809.0,-3.151455305504479
1973-10-01,3.2199999999999998,-1.62,-248000.0,1704.0,-3.582736215982872
1973-11-01,3.299999999999999,-1.6899999999999995,-241500.0,1411.0,-6.232214608299066
1973-12-01,3.209999999999999,-1.7400000000000002,-253750.0,1402.0,-7.682577397424778
1974-01-01,2.66,-1.4900000000000002,-291000.0,1288.0,-5.836334164301695
1974-02-01,2.0100000000000007,-1.5699999999999994,-305250.0,1331.0,-4.680344419311827
1974-03-01,2.1399999999999997,-1.4099999999999993,-318500.0,1360.0,-4.1863280272676135
1974-04-01,3.0,-1.3599999999999994,-314250.0,1440.0,-4.170990119864671
1974-05-01,3.7300000000000004,-1.4700000000000006,-293000.0,1254.0,-4.526607360349777
1974-06-01,4.39,-1.7299999999999995,-297500.0,1138.0,-5.031982148356871
1974-07-01,5.11,-1.6700000000000008,-312500.0,1086.0,-6.809723860494921
1974-08-01,3.9700000000000006,-1.7300000000000004,-309500.0,1002.0,-6.636586472921394
1974-09-01,3.3000000000000007,-2.1400000000000006,-343000.0,917.0,-8.829334441571165
1974-10-01,2.16,-2.58,-360750.0,840.0,-9.282504996622446
1974-11-01,1.7699999999999996,-2.92,-396750.0,824.0,-6.106697441454233
1974-12-01,1.0999999999999996,-3.200000000000001,-470500.0,783.0,-6.315166796758767
1975-01-01,-0.3700000000000001,-3.3100000000000005,-524000.0,869.0,-5.819100744559074
1975-02-01,-1.1499999999999995,-3.2600000000000007,-535000.0,726.0,-4.823523294515953
1975-03-01,-2.1900000000000004,-2.75,-544500.0,729.0,-4.9831743609432255
1975-04-01,-2.74,-2.3499999999999996,-546750.0,709.0,-4.703135090724557
1975-05-01,-2.8400000000000007,-2.629999999999999,-525250.0,866.0,-4.243203778628917
1975-06-01,-2.3100000000000005,-2.759999999999999,-497250.0,914.0,-3.6387329741328376
1975-07-01,-1.9600000000000009,-2.49,-495500.0,946.0,-3.202037033585603
1975-08-01,-2.2600000000000007,-2.1899999999999995,-442000.0,1020.0,-4.939680339794035
1975-09-01,-2.1899999999999995,-2.1799999999999997,-451500.0,994.0,-4.859709939979828
1975-10-01,-2.3200000000000003,-2.4799999999999986,-445250.0,1064.0,-4.362087172472022
1975-11-01,-2.830000000000001,-2.51,-421250.0,1096.0,-3.0171674818369554
1975-12-01,-2.8,-2.5600000000000005,-397250.0,1110.0,-3.6405962052012324
1976-01-01,-2.87,-2.67,-374250.0,1091.0,-3.7961143338496552
1976-02-01,-3.0200000000000005,-2.45,-373500.0,1195.0,-3.7586217217191944
1976-03-01,-2.8900000000000006,-2.389999999999999,-348250.0,1190.0,-3.424863648468078
1976-04-01,-2.7399999999999993,-2.38,-360500.0,1164.0,-3.2433369459599417
1976-05-01,-2.6100000000000003,-1.959999999999999,-370250.0,1132.0,-3.200339583338062
1976-06-01,-2.38,-2.0300000000000002,-393250.0,1194.0,-2.9944542606106057
1976-07-01,-2.5200000000000005,-1.9900000000000002,-393750.0,1188.0,-2.25484590268989
1976-08-01,-2.4799999999999995,-1.870000000000001,-390000.0,1245.0,-2.726705752941162
1976-09-01,-2.34,-1.8100000000000005,-388500.0,1309.0,-3.010012729891349
1976-10-01,-2.3900000000000006,-1.879999999999999,-407500.0,1481.0,-3.61887266598004
1976-11-01,-2.34,-1.9400000000000004,-409250.0,1425.0,-3.5109882330750053
1976-12-01,-2.2199999999999998,-2.249999999999999,-389500.0,1531.0,-2.135156860391985
1977-01-01,-2.5999999999999996,-1.87,-373750.0,1511.0,-2.444960178099535
1977-02-01,-2.71,-1.7299999999999995,-407250.0,1466.0,-1.901204701825839
1977-03-01,-2.7699999999999996,-1.6599999999999993,-450750.0,1560.0,-2.5051561705078154
1977-04-01,-2.6399999999999997,-1.7000000000000002,-360250.0,1660.0,-3.2992302094729267
1977-05-01,-2.1100000000000003,-1.5499999999999998,-371750.0,1660.0,-2.527562909019555
1977-06-01,-1.8900000000000006,-1.63,-380250.0,1668.0,-2.1765636599324663
1977-07-01,-1.9100000000000001,-1.5399999999999991,-361250.0,1752.0,-2.6038340471651313
1977-08-01,-1.5,-1.42,-364250.0,1687.0,-2.3188635294931577
1977-09-01,-1.2000000000000002,-1.4600000000000009,-367250.0,1780.0,-2.204775647419297
1977-10-01,-1.0499999999999998,-1.370000000000001,-368750.0,1674.0,-2.577353941658414
1977-11-01,-1.0700000000000003,-1.3699999999999992,-361750.0,1758.0,-3.7678338367445003
1977-12-01,-1.1300000000000008,-1.2999999999999998,-353500.0,1771.0,-2.564096202897072
1978-01-01,-1.2599999999999998,-1.21,-357750.0,1754.0,-2.7473672873590016
1978-02-01,-1.2499999999999991,-1.17,-351000.0,1740.0,-2.727570899224403
1978-03-01,-1.2499999999999991,-1.1800000000000015,-383250.0,1736.0,-2.438418659052617
1978-04-01,-1.2600000000000007,-1.17,-349000.0,1799.0,-3.9310647042410767
1978-05-01,-0.9899999999999993,-1.1400000000000006,-324250.0,1948.0,-3.2924414575704595
1978-06-01,-0.8600000000000012,-1.1399999999999988,-327000.0,1766.0,-3.1842135988477587
1978-07-01,-0.830000000000001,-0.9599999999999991,-324250.0,1983.0,-2.801018829280649
1978-08-01,-0.370000000000001,-1.0700000000000003,-350750.0,1786.0,-3.0495498593011585
1978-09-01,0.02999999999999936,-1.0,-348750.0,1691.0,-3.2329522450626467
1978-10-01,0.3200000000000003,-0.9499999999999993,-325000.0,1751.0,-4.110894220038158
1978-11-01,0.9499999999999993,-1.0199999999999996,-328250.0,1781.0,-5.765059387096617
1978-12-01,1.0199999999999996,-0.9299999999999997,-330500.0,1795.0,-4.274915844611416
1979-01-01,0.9700000000000006,-1.0300000000000011,-350250.0,1818.0,-3.0500441442404296
1979-02-01,0.9600000000000009,-0.9800000000000004,-357500.0,1461.0,-2.9438204489684985
1979-03-01,0.9700000000000006,-1.1400000000000006,-358500.0,1492.0,-2.5841468196378634
1979-04-01,0.8300000000000001,-1.1500000000000004,-358750.0,1720.0,-2.673387014354352
1979-05-01,0.9900000000000002,-1.2200000000000006,-415500.0,1597.0,-2.986030235785923
1979-06-01,1.379999999999999,-1.4700000000000006,-348000.0,1684.0,-2.2957530278233858
1979-07-01,1.5200000000000014,-1.3399999999999999,-366000.0,1640.0,-2.7183905520473695
1979-08-01,1.9100000000000001,-1.3200000000000003,-379250.0,1534.0,-1.9271014889721712
1979-09-01,2.0999999999999996,-1.209999999999999,-393750.0,1591.0,-3.7928269010406765
1979-10-01,3.469999999999999,-1.0999999999999996,-385000.0,1638.0,-4.7640223606835255
1979-11-01,2.5299999999999994,-1.3399999999999999,-402250.0,1481.0,-3.931823652876312
1979-12-01,3.389999999999999,-1.67,-413250.0,1276.0,-2.2435817791505372
1980-01-01,3.0199999999999996,-1.6199999999999992,-431250.0,1254.0,-4.1938599890535375
1980-02-01,1.7200000000000006,-1.1600000000000001,-414250.0,1280.0,-4.578990624893825
1980-03-01,4.440000000000001,-1.6999999999999993,-418000.0,1199.0,-6.558532982467351
1980-04-01,6.139999999999999,-2.719999999999999,-440000.0,988.0,-5.287710726571766
1980-05-01,0.8000000000000007,-2.99,-529750.0,808.0,-3.84466428698964
1980-06-01,-0.3099999999999987,-2.9300000000000015,-626750.0,861.0,-3.744846428898261
1980-07-01,-1.2200000000000006,-2.4000000000000004,-607000.0,1118.0,-3.4328795573960598
1980-08-01,-1.4900000000000002,-2.0500000000000007,-559250.0,1259.0,-4.232422430349724
1980-09-01,-0.6400000000000006,-2.1899999999999995,-518000.0,1367.0,-5.249754165221006
1980-10-01,1.0600000000000005,-2.4800000000000004,-482750.0,1484.0,-4.559703956717446
1980-11-01,3.17,-1.9600000000000009,-438000.0,1366.0,-4.816771073751369
1980-12-01,6.059999999999999,-2.3000000000000007,-411000.0,1383.0,-5.387113040094084
1981-01-01,6.509999999999998,-2.459999999999999,-410000.0,1249.0,-3.9641318546370687
1981-02-01,2.74,-2.1799999999999997,-413750.0,1221.0,-4.212006271762438
1981-03-01,1.58,-2.2200000000000006,-428750.0,1199.0,-4.489568999000597
1981-04-01,2.040000000000001,-1.8800000000000008,-407500.0,1183.0,-2.909325782878397
1981-05-01,4.42,-1.8499999999999996,-410250.0,1190.0,-3.191593054390391
1981-06-01,5.630000000000001,-2.33,-417250.0,1173.0,-3.148071802609646
1981-07-01,4.76,-1.8900000000000023,-433000.0,976.0,-3.3191750612511948
1981-08-01,2.880000000000001,-1.4000000000000004,-430750.0,935.0,-4.143119278968062
1981-09-01,0.5499999999999989,-1.6000000000000014,-443750.0,889.0,-5.2475602306903335
1981-10-01,-0.07000000000000028,-1.959999999999999,-473250.0,847.0,-4.437417771280574
1981-11-01,-0.08000000000000007,-3.0,-493750.0,731.0,-3.9849024703139433
1981-12-01,-1.3500000000000014,-2.83,-511750.0,748.0,-2.94052034994296
1982-01-01,-1.3699999999999992,-2.5100000000000016,-551000.0,796.0,-5.265425991762529
1982-02-01,0.34999999999999964,-2.75,-545250.0,794.0,-4.478565489406465
1982-03-01,0.8200000000000003,-2.960000000000001,-533750.0,808.0,-4.135237936990229
1982-04-01,1.0700000000000003,-2.910000000000002,-556500.0,891.0,-3.503638268391576
1982-05-01,0.8300000000000001,-3.0200000000000014,-587000.0,888.0,-2.9292382923992504
1982-06-01,-0.15000000000000036,-2.620000000000001,-585750.0,953.0,-3.8373921907693287
1982-07-01,-1.3599999999999994,-2.8500000000000014,-599500.0,913.0,-3.127666163861468
1982-08-01,-2.9400000000000013,-3.26,-570000.0,1044.0,-7.635654552889719
1982-09-01,-2.0299999999999994,-3.290000000000001,-629500.0,926.0,-4.726128520185441
1982-10-01,-1.1999999999999993,-3.8200000000000003,-660750.0,1042.0,-7.651112684253899
1982-11-01,-1.3500000000000014,-3.75,-641750.0,1149.0,-7.53907981181559
1982-12-01,-1.5899999999999999,-3.6000000000000014,-594250.0,1229.0,-4.978749448140441
1983-01-01,-1.7800000000000011,-3.4799999999999986,-523750.0,1351.0,-5.821797839971579
1983-02-01,-2.210000000000001,-3.2299999999999986,-492750.0,1426.0,-4.696600770144362
1983-03-01,-1.7400000000000002,-3.0999999999999996,-488750.0,1471.0,-3.8142561298438578
1983-04-01,-1.5999999999999996,-2.889999999999999,-480250.0,1475.0,-3.5785662832073
1983-05-01,-1.75,-2.709999999999999,-497250.0,1566.0,-3.3692036715399727
1983-06-01,-1.8699999999999992,-2.5199999999999996,-468000.0,1669.0,-3.6201537346456383
1983-07-01,-2.0100000000000016,-2.01,-444250.0,1769.0,-5.00899777630304
1983-08-01,-2.289999999999999,-1.790000000000001,-404500.0,1795.0,-3.605571410610267
1983-09-01,-2.200000000000001,-1.9000000000000004,-435750.0,1713.0,-3.3191053820803895
1983-10-01,-2.0599999999999987,-1.9200000000000017,-408750.0,1585.0,-3.4061960107876175
1983-11-01,-2.3499999999999996,-1.92,-399500.0,1716.0,-2.93384848052036
1983-12-01,-2.3599999999999994,-1.92,-392500.0,1668.0,-2.3519043936378625
1984-01-01,-2.1099999999999994,-1.9800000000000004,-369750.0,1627.0,-2.881545530199765
1984-02-01,-2.25,-1.75,-351000.0,1816.0,-4.63640130914305
1984-03-01,-2.41,-1.67,-339250.0,1987.0,-3.6682028548934484
1984-04-01,-2.3400000000000016,-1.6799999999999997,-345500.0,1725.0,-3.3801831543052225
1984-05-01,-3.09,-1.33,-369250.0,1776.0,-2.766673312849814
1984-06-01,-2.5,-1.4900000000000002,-360250.0,1741.0,-4.175013217865742
1984-07-01,-2.129999999999999,-1.790000000000001,-363000.0,1814.0,-2.993145625203708
1984-08-01,-1.08,-1.9100000000000001,-360500.0,1605.0,-5.048297311497623
1984-09-01,-1.2199999999999989,-1.83,-389500.0,1530.0,-3.3164353546442067
1984-10-01,-2.17,-1.7799999999999994,-398000.0,1523.0,-3.5115764314811173
1984-11-01,-2.1400000000000006,-1.9100000000000001,-419250.0,1490.0,-3.2615231842479746
1984-12-01,-3.119999999999999,-1.9000000000000004,-407000.0,1643.0,-3.587288530095598
1985-01-01,-3.030000000000001,-1.879999999999999,-381750.0,1626.0,-3.7378801643423927
1985-02-01,-3.01,-1.7200000000000006,-370750.0,1660.0,-2.9398023953515047
1985-03-01,-3.2799999999999994,-1.83,-391750.0,1662.0,-2.904162761163256
1985-04-01,-3.16,-2.08,-382500.0,1727.0,-2.195258453245677
1985-05-01,-2.88,-2.3000000000000007,-398250.0,1664.0,-2.656897274999796
1985-06-01,-2.63,-2.24,-392750.0,1709.0,-2.847868798079143
1985-07-01,-2.4300000000000006,-2.119999999999999,-392250.0,1716.0,-2.679003733210095
1985-08-01,-2.4299999999999997,-2.17,-378250.0,1697.0,-2.496834771096533
1985-09-01,-2.4499999999999993,-2.110000000000001,-403750.0,1808.0,-3.0583103350011593
1985-10-01,-2.25,-2.119999999999999,-408500.0,1916.0,-2.8227999273948168
1985-11-01,-1.7299999999999986,-2.210000000000001,-405750.0,1743.0,-2.859815305582371
1985-12-01,-0.9900000000000002,-2.3200000000000003,-392250.0,1692.0,-3.4521450388811896
1986-01-01,-1.049999999999999,-2.25,-385250.0,1794.0,-4.381386351115587
1986-02-01,-0.839999999999999,-2.41,-366750.0,1847.0,-3.1200403105722514
1986-03-01,-0.2999999999999998,-2.7199999999999998,-369500.0,1767.0,-3.698863396528336
1986-04-01,-0.3099999999999996,-2.8899999999999997,-382750.0,1780.0,-4.951002310877371
1986-05-01,-0.8600000000000003,-2.579999999999999,-385750.0,1858.0,-3.6262596139781356
1986-06-01,-0.8799999999999999,-2.54,-384500.0,1797.0,-4.08090000929967
1986-07-01,-0.7400000000000002,-2.8600000000000003,-370500.0,1790.0,-4.7499894915927285
1986-08-01,-1.0,-3.01,-362000.0,1780.0,-3.2906115218563987
1986-09-01,-1.5600000000000005,-2.749999999999999,-405250.0,1726.0,-6.354434820981465
1986-10-01,-1.58,-2.8100000000000005,-395500.0,1686.0,-2.873228479111341
1986-11-01,-1.21,-2.8200000000000003,-383250.0,1675.0,-4.460147698105235
1986-12-01,-0.20000000000000018,-2.8600000000000003,-363000.0,1644.0,-3.5021930750316725
1987-01-01,-0.6500000000000004,-2.6400000000000006,-358250.0,1903.0,-4.267084387585867
1987-02-01,-1.1500000000000004,-2.4000000000000004,-351250.0,1690.0,-3.954421612258812
1987-03-01,-1.12,-2.3599999999999994,-348750.0,1689.0,-4.402126440373076
1987-04-01,-1.6499999999999995,-2.0199999999999996,-333250.0,1704.0,-6.632731097445956
1987-05-01,-1.7599999999999998,-1.9000000000000004,-336250.0,1601.0,-5.242462336792297
1987-06-01,-1.67,-2.119999999999999,-331250.0,1500.0,-3.1121915609765294
1987-07-01,-1.8699999999999992,-2.16,-322250.0,1522.0,-2.6737659746886333
1987-08-01,-2.0299999999999994,-2.040000000000001,-319250.0,1516.0,-4.245952369398676
1987-09-01,-2.2,-1.8900000000000006,-320000.0,1511.0,-5.132891321200321
1987-10-01,-2.2299999999999995,-2.0999999999999996,-309750.0,1514.0,-26.268730549799933
1987-11-01,-2.169999999999999,-2.370000000000001,-299750.0,1447.0,-8.421996574296966
1987-12-01,-2.2200000000000006,-2.299999999999999,-306750.0,1457.0,-8.12708033401679
1988-01-01,-1.8399999999999999,-2.4000000000000004,-318750.0,1345.0,-10.006498646877441
1988-02-01,-1.6300000000000008,-2.4099999999999984,-340750.0,1244.0,-4.557649992829426
1988-03-01,-1.7899999999999991,-2.200000000000001,-318750.0,1438.0,-3.9222172828799975
1988-04-01,-1.8500000000000005,-2.1799999999999997,-305500.0,1525.0,-6.1820851928242195
1988-05-01,-2.0,-1.9499999999999993,-313000.0,1429.0,-5.17935762883571
1988-06-01,-1.4100000000000001,-2.08,-313750.0,1444.0,-4.769909770492032
1988-07-01,-1.3100000000000005,-2.049999999999999,-308250.0,1485.0,-4.594156607254152
1988-08-01,-1.25,-1.950000000000001,-325750.0,1439.0,-3.556785196282896
1988-09-01,-0.7900000000000009,-1.92,-314750.0,1460.0,-3.4265968633013415
1988-10-01,-0.5,-1.6099999999999994,-304500.0,1436.0,-4.0965263049417615
1988-11-01,-0.6100000000000012,-1.5199999999999996,-291250.0,1516.0,-3.739625338986832
1988-12-01,-0.34999999999999964,-1.540000000000001,-290500.0,1508.0,-2.5442854812564213
1989-01-01,0.02999999999999936,-1.5600000000000005,-292000.0,1501.0,-2.781505970463282
1989-02-01,0.1899999999999995,-1.4399999999999995,-289750.0,1466.0,-3.634876016372078
1989-03-01,0.4900000000000002,-1.3100000000000005,-303750.0,1383.0,-3.5580152350834586
1989-04-01,0.6600000000000001,-1.4299999999999997,-322000.0,1214.0,-3.0357459139674963
1989-05-01,0.9500000000000011,-1.6000000000000014,-309000.0,1376.0,-3.189292518595388
1989-06-01,1.25,-1.75,-324500.0,1381.0,-3.777758555384804
1989-07-01,1.2200000000000006,-1.8499999999999996,-333000.0,1322.0,-2.692628289614565
1989-08-01,0.8800000000000008,-1.7700000000000014,-339750.0,1283.0,-3.615190247976077
1989-09-01,0.8300000000000001,-1.7200000000000006,-334500.0,1334.0,-2.461543496445533
1989-10-01,0.8300000000000001,-1.8000000000000007,-337750.0,1314.0,-7.4814625593706845
1989-11-01,0.6800000000000006,-1.9400000000000004,-363250.0,1365.0,-2.954468213846808
1989-12-01,0.6099999999999994,-1.9800000000000004,-336750.0,1344.0,-3.166382537365221
1990-01-01,0.019999999999999574,-1.7299999999999986,-358000.0,1422.0,-23.347272727272728
1990-02-01,-0.23000000000000043,-1.67,-361000.0,1748.0,-23.262631578947367
1990-03-01,-0.3100000000000005,-1.620000000000001,-358250.0,1329.0,-20.062272727272727
1990-04-01,-0.5299999999999994,-1.5100000000000016,-343750.0,1246.0,-21.4035
1990-05-01,-0.5800000000000001,-1.6500000000000004,-361750.0,1136.0,-18.097727272727273
1990-06-01,-0.19000000000000128,-1.7400000000000002,-355250.0,1067.0,-16.82238095238095
1990-07-01,-0.3200000000000003,-1.7299999999999986,-361000.0,1108.0,-18.392857142857142
1990-08-01,-0.6199999999999992,-1.6600000000000001,-367000.0,1078.0,-28.175217391304347
1990-09-01,-0.6900000000000013,-1.75,-384250.0,1069.0,-29.10736842105263
1990-10-01,-0.6100000000000012,-2.0199999999999996,-394500.0,976.0,-29.625652173913043
1990-11-01,-0.580000000000001,-2.2299999999999986,-425250.0,925.0,-24.885714285714286
1990-12-01,-0.7700000000000005,-2.3499999999999996,-446750.0,941.0,-23.363
1991-01-01,-1.1799999999999997,-2.3599999999999994,-456000.0,861.0,-27.429090909090913
1991-02-01,-1.5999999999999996,-2.2200000000000006,-439750.0,786.0,-21.59842105263158
1991-03-01,-1.9899999999999993,-1.9800000000000004,-484000.0,853.0,-17.74421052631579
1991-04-01,-2.129999999999999,-1.9000000000000004,-501250.0,911.0,-17.37272727272727
1991-05-01,-2.29,-1.7899999999999991,-467250.0,916.0,-16.93227272727273
1991-06-01,-2.379999999999999,-1.6800000000000015,-447000.0,991.0,-17.134999999999998
1991-07-01,-2.4499999999999993,-1.620000000000001,-427750.0,964.0,-17.294090909090908
1991-08-01,-2.24,-1.75,-418250.0,973.0,-15.681363636363637
1991-09-01,-2.2,-1.8599999999999994,-430000.0,944.0,-16.9565
1991-10-01,-2.3200000000000003,-1.96,-424500.0,974.0,-16.36391304347826
1991-11-01,-2.6100000000000003,-2.0299999999999994,-422750.0,991.0,-17.773500000000002
1991-12-01,-2.66,-2.17,-445000.0,984.0,-18.347619047619048
1992-01-01,-3.0,-2.1000000000000005,-456750.0,1061.0,-17.68318181818182
1992-02-01,-3.2800000000000002,-1.8900000000000006,-439000.0,1077.0,-17.47736842105263
1992-03-01,-3.56,-1.71,-442750.0,1146.0,-17.520454545454545
1992-04-01,-3.7500000000000004,-1.7300000000000004,-429500.0,1082.0,-16.562857142857144
1992-05-01,-3.57,-1.740000000000001,-418250.0,1054.0,-15.077000000000002
1992-06-01,-3.5,-1.790000000000001,-414000.0,1056.0,-15.203181818181816
1992-07-01,-3.59,-2.0,-418750.0,1057.0,-13.601818181818182
1992-08-01,-3.29,-2.0600000000000005,-442750.0,1089.0,-14.421904761904763
1992-09-01,-3.1999999999999997,-2.1999999999999993,-403250.0,1075.0,-13.696666666666667
1992-10-01,-3.4899999999999998,-2.25,-417000.0,1114.0,-17.63681818181818
1992-11-01,-3.7800000000000002,-2.0900000000000007,-372750.0,1132.0,-14.4245
1992-12-01,-3.8499999999999996,-2.040000000000001,-362250.0,1118.0,-12.191363636363635
1993-01-01,-3.5799999999999996,-2.0700000000000003,-339000.0,1176.0,-12.409
