,macro_indicator,l1_trend,slope,regime
1967-02-01,1.5298405805038855,1.2745053091205143,0.00940630740984627,Expansion
1967-03-01,1.2436353984608166,1.2933179239402068,0.018813538617932224,Expansion
1967-04-01,1.1454860828365758,1.3121323863563787,0.018815850119105915,Expansion
1967-05-01,1.251945275833645,1.3309496241784187,0.02077097627375446,Expansion
1967-06-01,1.2635090563902738,1.3536743389038877,0.022720136802821367,Expansion
1967-07-01,1.40468212877576,1.3763898977840614,0.022704573236308367,Expansion
1967-08-01,1.4431884020821795,1.3990834853765044,0.022675752842365005,Expansion
1967-09-01,1.487876024281071,1.4217414034687914,0.022634123703255904,Expansion
1967-10-01,1.4925204152120783,1.4443517327830162,0.022582722926002274,Expansion
1967-11-01,1.508262705502342,1.466906849320796,0.02252700925931317,Expansion
1967-12-01,1.4948197305838873,1.4894057513016425,0.022474659477433878,Expansion
1968-01-01,1.4722543692609187,1.5118561682756637,0.022435340890331057,Expansion
1968-02-01,1.3521305384117874,1.5342764330823047,0.031662413909976816,Expansion
1968-03-01,1.6189277275886371,1.5751809960956173,0.04092675595010675,Expansion
1968-04-01,1.6500052008348125,1.6161299449825182,0.04099664015543536,Expansion
1968-05-01,1.8380952357811986,1.657174276406488,0.041117665453519914,Expansion
1968-06-01,1.652354501877071,1.698365275889558,0.04128717859976039,Expansion
1968-07-01,1.6009016890186993,1.7397486336060088,0.041516737547133364,Expansion
1968-08-01,1.7808519904268931,1.7813987509838247,0.0417842395177761,Expansion
1968-09-01,1.8079327443404254,1.823317112641561,0.04206441236763114,Expansion
1968-10-01,1.967043389755284,1.865527575719087,0.042359471819166994,Expansion
1968-11-01,1.8734251358316323,1.908036056279895,0.042651733248533996,Expansion
1968-12-01,1.9327647054997088,1.950831042216155,0.0429248792817144,Expansion
1969-01-01,1.8174878890988104,1.9938858148433238,0.04316522280961599,Expansion
1969-02-01,2.0714137159705883,2.037161487835387,0.04336247371037938,Expansion
1969-03-01,2.037866671042076,2.0806107622640826,0.04351047353618487,Expansion
1969-04-01,2.0239387410895953,2.1241824349077567,0.04360792168296146,Expansion
1969-05-01,2.4160752904206975,2.1678266056300055,0.04365899588870281,Expansion
1969-06-01,2.3403731167213366,2.2115004266851623,0.037367998181817796,Expansion
1969-07-01,2.1430684191310023,2.242562601993641,0.031056978063473517,Expansion
