Date,LargeCap,MidCap,SmallCap,EAFE,EM,AggBond,Treasury,HighYield,Corporate,REIT,Commodity,Gold
2007-01-03,0.998421311378479,0.00013935565948486328,0.00011217594146728516,0.9999116063117981,0.0001055002212524414,0.0003415346145629883,0.0005141496658325195,0.0010776519775390625,0.0004436373710632324,0.2,9.739398956298828e-05,0.00029981136322021484
2007-01-04,0.998305082321167,0.00013410201063379645,0.00011217594146728516,0.9999116063117981,0.0001055002212524414,0.00032735668355599046,0.0005141496658325195,0.0009255409240722656,0.0004436373710632324,0.2,8.851761231198907e-05,0.00027526853955350816
2007-01-05,0.9982056021690369,0.00012928438081871718,0.00011217594146728516,0.9999289512634277,0.0001055002212524414,0.00031435544951818883,0.0005141496658325195,0.0009255409240722656,0.0004436373710632324,0.2,8.217252616304904e-05,0.00025463057681918144
2007-01-08,0.9967767596244812,0.0001301202573813498,0.00011217594146728516,0.9719348549842834,0.0001055002212524414,0.00030243326909840107,0.0005141496658325195,0.0004493594169616699,0.0004436373710632324,0.2,7.683696458116174e-05,0.0002372761955484748
2007-01-09,0.9944607019424438,0.0001308867649640888,0.00011217594146728516,0.9485071301460266,0.0001055002212524414,0.0002915005898103118,0.0005141496658325195,0.0012859106063842773,0.0004436373710632324,0.2,7.235031080199406e-05,0.00022268295288085938
2007-01-10,0.9894648194313049,0.00013158965157344937,0.00011217594146728516,0.959418535232544,0.0001055002212524414,0.0002814752806443721,0.0005141496658325195,0.0012859106063842773,0.0004436373710632324,0.2,6.850163481431082e-05,0.00021041154104750603
2007-01-11,0.9897921681404114,0.0001269805507035926,0.00011217594146728516,0.7272542119026184,0.0001055002212524414,0.00027228202088736,0.0005141496658325195,0.0012859106063842773,0.0004436373710632324,0.2,6.84896222082898e-05,0.00020009255968034267
2007-01-12,0.9902976751327515,0.0001227539760293439,0.00011217594146728516,0.7673760652542114,0.0001055002212524414,0.00026385177625343204,0.0005141496658325195,0.0012859106063842773,0.0004436373710632324,0.2,6.847952317912132e-05,0.00019141536904498935
2007-01-16,0.9910849332809448,0.00011887819709954783,0.00011217594146728516,0.9998998641967773,0.0001055002212524414,0.00025612118770368397,0.0005141496658325195,0.0012859106063842773,0.0004436373710632324,0.2,6.847102486062795e-05,0.00018411874771118164
2007-01-17,0.9917755126953125,0.00011532408825587481,0.00011217594146728516,0.9996303915977478,0.0001055002212524414,0.00024903222220018506,0.0005141496658325195,0.0012859106063842773,0.0004436373710632324,0.2,7.098643982317299e-05,0.00017798304907046258
2007-01-18,0.992408812046051,0.0001120649540098384,0.00011217594146728516,0.9996303915977478,0.0001055002212524414,0.00024253160518128425,0.0005141496658325195,0.0012859106063842773,0.0004436373710632324,0.2,7.310164801310748e-05,0.0001728235511109233
2007-01-19,0.9921775460243225,0.0001111540332203731,0.00011217594146728516,0.9668882489204407,0.0001055002212524414,0.00023657051497139037,0.0005141496658325195,0.0012859106063842773,0.0004436373710632324,0.2,7.488032133551314e-05,0.00016848495579324663
2007-01-22,0.9918637871742249,0.00010824100172612816,0.00011217594146728516,0.9999246597290039,0.0001055002212524414,0.0002311041607754305,0.0005141496658325195,0.0012859106063842773,0.0004436373710632324,0.2,7.449830445693806e-05,0.00018937945424113423
