,Ann Return,Ann Vol,Sharpe,Max DD,Corr(LO),t-stat,N
Q1,0.042348333333333335,0.04426525976155898,0.9566945627665706,-0.13094605279710858,0.6359138575914463,6.050667686882562,480.0
Q2,0.028764166666666667,0.04538900113178953,0.6337254830338365,-0.1236167745008705,0.7637202083115237,4.008031875354632,480.0
Q3,0.03602166666666666,0.0429183525447361,0.8393068356740707,-0.09114007386072243,0.8191800489914907,5.308242512957453,480.0
Q4,0.030335833333333333,0.0480092474413663,0.6318747939213688,-0.13800395235011564,0.7028063894282448,3.9963270896820857,480.0
Q5,0.010361666666666668,0.0495288188791058,0.20920480038012446,-0.18670825106587274,0.5212235845174373,1.3231273332841056,480.0
LO,0.039920833333333336,0.04144303170339654,0.9632701009675784,-0.1236167745008705,1.0,6.0922550419958235,480.0
Q1_Q5,0.03198666666666666,0.05499582307582567,0.5816199281637251,-0.1562833758769251,0.04242692351309867,3.6784874110817705,480.0
