Variable,Observed Mean,Paper Mean,Observed Std,Paper Std,Mean Delta,Std Delta
Market,0.6125984164017414,0.49,1.1111138569081473,0.89,0.1225984164017414,0.22111385690814733
Yield_curve,0.000988298667252704,-0.07,1.1087950942909115,0.98,0.07098829866725272,0.12879509429091152
Oil,0.312756946557859,0.24,1.0512032348043334,0.97,0.07275694655785903,0.08120323480433345
Copper,0.24931209052504932,0.15,0.9701166972120887,0.94,0.09931209052504933,0.03011669721208876
Monetary_policy,-0.008686976946577067,0.13,1.1544883148171754,0.98,0.13868697694657708,0.17448831481717542
Volatility,0.03841456090235447,0.05,1.0117212558080577,0.97,0.011585439097645533,0.041721255808057744
Stock_bond,0.05416530034159769,-0.1,1.1875449046349011,0.98,0.1541653003415977,0.20754490463490116
